functie,bedrijf,sector,regio,telefoonnummer,contactpersoon,vacature_link,reden_urgentie,ongeschoold,datum_gevonden,actief
Bediening / horecamedewerker,Meadow op het Deventer Stadsstrand,Horeca,Deventer,0570-594575,Onbekend - vraag naar bedrijfsleider,https://meadow-deventer.nl/vacatures/,"GEVERIFIEERD ECHT BEDRIJF (algemeen nummer, geen persoonlijk 06). Seizoensgebonden strandtent aan de IJssel. LET OP: sluit jaarlijks 30 oktober voor het seizoen - dus nog een klein raam, daarna waarschijnlijk niet meer actueel tot volgend voorjaar. Check bij bellen of ze nog personeel zoeken voor de laatste weken.",ja,2026-08-11,ja
Schoonmaker,Meijer Schoonmaakdiensten,Schoonmaak,Deventer,0570-612745,Onbekend - vraag naar planning/HR,https://meijer-schoonmaakdiensten.nl/leukste-schoonmaak-banen/,"GEVERIFIEERD ECHT BEDRIJF (algemeen nummer, geen persoonlijk 06). Lokaal Deventer schoonmaakbedrijf sinds 1993 dat actief wervend is voor parttime schoonmaakwerk (10-15 uur/week) - laagdrempelig, geen diploma nodig.",ja,2026-08-06,ja
Orderpicker / magazijnmedewerker,Tielbeke Transport Distributie Warehousing,Logistiek,Deventer,088-2521680,Personeelszaken,https://werkenbijtielbeke.nl/logistieke-vacatures/,"GEVERIFIEERD ECHT BEDRIJF (algemeen nummer personeelszaken, geen persoonlijk 06). Deventer-vestiging met doorlopende logistieke vacatures (transport/warehousing) - vraag specifiek naar magazijn/orderpicker-werk (rijbewijs CE is NIET nodig voor die functie, alleen voor chauffeursvacatures op dezelfde site).",ja,2026-08-06,ja
Bijbaan vakkenvuller,Jumbo Deventer Boreelplein,Retail/Supermarkt,Deventer,0570-640883,Onbekend - vraag naar bedrijfsleider/afdeling personeel,https://nl.jobs.jumbo.com/nl/vacature/bijbaan-vakkenvuller/2022-12789/,"CORRECTIE: bij nader zoeken blijkt deze vacaturepagina te dateren uit 2022 - waarschijnlijk een verlopen/evergreen listing, geen actuele vacature. Op inactief gezet totdat opnieuw geverifieerd. Winkelnummer 0570-640883 blijft geldig om te bellen en te vragen of er nu personeel gezocht wordt.",ja,2026-09-06,nee
Keukenhulp / afwasser,'t Zusje Deventer,Horeca,Deventer,0570-726980,Onbekend - vraag naar keukenchef/bedrijfsleider,https://zusje.nl/onze-zusjes/deventer/,"GEVERIFIEERD ECHT BEDRIJF (algemeen restaurantnummer, geen persoonlijk 06). Populair restaurant aan het Boreelplein, dagelijks open (diner vanaf 16u, weekend ook lunch) - drukke bediening/keuken met doorlopende behoefte aan extra handen in de keuken.",ja,2026-08-11,ja
Medewerker snackbar/cafetaria,Cafetaria De Worp,Horeca/Fastfood,Deventer,06-51229914,Onbekend - eigenaar/bedrijfsleider (nummer staat als mobiel vermeld),https://www.telefoonboek.nl/bedrijven/t8496809/deventer/cafetaria-de-worp/,"GEVERIFIEERD ECHT BEDRIJF MET ECHT 06-NUMMER (publiek vermeld als mobiel contactnummer op telefoonboek.nl, waarschijnlijk de eigenaar zelf bij een kleine zelfstandige snackbar). Adres: Bloemstraat 62, Deventer. Snackbars/cafetaria's hebben doorgaans hoog personeelsverloop en laagdrempelige instap - bel gerust rechtstreeks.",ja,2026-08-16,ja
Schoonmaker (bedrijfspand),Multi Clean Deventer,Schoonmaak,Deventer,0570-656566,Onbekend - vraag naar planning/HR,https://www.multiclean-deventer.nl/vacatures,"GEVERIFIEERD ECHT BEDRIJF (algemeen nummer, geen persoonlijk 06). Lokaal Deventer schoonmaakbedrijf sinds 1989. Actueel openstaande vacature voor een schoonmaker die zelfstandig een bedrijfspand op industrieterrein A1 onderhoudt - laagdrempelig, geen diploma nodig.",ja,2026-08-23,ja
Medewerker cafetaria,Cafetaria 'De Marienburgher',Horeca/Fastfood,Deventer,06-29536630,Onbekend - eigenaar/bedrijfsleider (nummer staat als mobiel vermeld),https://www.telefoonboek.nl/bedrijven/t3068907/deventer/cafetaria-de-marienburgher/,"GEVERIFIEERD ECHT BEDRIJF MET ECHT 06-NUMMER (publiek vermeld als mobiel contactnummer op telefoonboek.nl, waarschijnlijk de eigenaar zelf bij een kleine zelfstandige cafetaria). Adres: Marienburghstraat 15, Deventer. Kleine zelfstandige horecazaak - laagdrempelig, bel gerust rechtstreeks.",ja,2026-08-30,ja
Shopmedewerker tankstation (bijbaan),OK Tankstation Koerhuis (BP Koerhuis),Retail/Tankstation,Deventer,0570-633855,Onbekend - vraag naar bedrijfsleider,https://ats.werkenbijok.nl/jobs/8215765-bijbaan-tankstation-koerhuis-deventer,"GEVERIFIEERD ECHT BEDRIJF EN ECHTE VACATURE (algemeen tankstationnummer, geen persoonlijk 06). Specifieke, actueel openstaande bijbaanvacature shopmedewerker bij tankstation Zutphenseweg 51, 8-16 uur/week inclusief avond/weekend, augustus-november, geen ervaring vereist, 24/7 open.",ja,2026-08-30,ja
Medewerker foodstand (pizza/snacks),Nettuno Standalone Food Systems,Horeca/Fastfood,Deventer,06-50832115,Onbekend - eigenaar (nummer staat als mobiel vermeld),https://www.telefoonboek.nl/bedrijven/t2213986/deventer/nettuno-standalone-food-systems/,"GEVERIFIEERD ECHT BEDRIJF MET ECHT 06-NUMMER (publiek vermeld als mobiel contactnummer op telefoonboek.nl). Adres: Nering Bogelweg 23, Deventer. Kleine zelfstandige foodstand (pizza, pasta, broodjes, hotdogs, ijs, soep) - hiring-status niet bevestigd via vacaturetekst, dus bij het bellen eerst vragen of er personeel gezocht wordt.",ja,2026-09-06,ja
Oproepkracht carwash,iClean Carwash Deventer,Overig,Deventer,0570-606909,Onbekend - vraag naar bedrijfsleider,https://icleandeventer.nl/vacatures/vacature-parttimemedewerker-oproepkracht/,"GEVERIFIEERD ECHT BEDRIJF EN ECHTE VACATURE (algemeen nummer, geen persoonlijk 06). Specifieke, actueel openstaande oproepkracht/parttime-vacature bij carwash Rostockstraat 2 - laagdrempelig, geen diploma nodig, weekenddiensten.",ja,2026-09-13,ja
Medewerker grillroom/shoarma,Ender Kebap,Horeca/Fastfood,Deventer,06-55155510,Onbekend - eigenaar (nummer staat als mobiel vermeld),https://www.telefoonboek.nl/bedrijven/t4175863/deventer/ender-kebap/,"GEVERIFIEERD ECHT BEDRIJF MET ECHT 06-NUMMER (publiek vermeld als mobiel contactnummer op telefoonboek.nl). Adres: Hunneperkade 38, Deventer. Kleine zelfstandige grillroom/kebabzaak - laagdrempelig, hiring-status niet bevestigd, dus bij het bellen eerst navragen.",ja,2026-09-13,ja
Verkoopmedewerker bakkerij,Bakkerij Wessels,Retail/Bakkerij,Deventer,0570-640178,Onbekend - vraag naar bedrijfsleider,https://bakkerijen.nu/deventer/wessels-echte-bakker,"GEVERIFIEERD ECHT BEDRIJF (algemeen nummer, geen persoonlijk 06). Twee vestigingen in Deventer (Constantijn Huygensstraat en Spoorstraat). Hiring-status niet bevestigd via vacaturetekst, dus bij het bellen eerst navragen of er personeel gezocht wordt.",ja,2026-09-20,ja
Medewerker broodjeszaak,Broodjeszaak de Vlinder,Horeca/Fastfood,Deventer,0570-767271,Onbekend - vraag naar bedrijfsleider,https://broodjeszaakdevlinder.nl/contact/,"GEVERIFIEERD ECHT BEDRIJF (algemeen nummer, geen persoonlijk 06). Broodjeszaak aan de Nieuwstraat, centrum Deventer. Hiring-status niet bevestigd, dus bij het bellen eerst navragen of er personeel gezocht wordt.",ja,2026-09-20,ja
Medewerker bediening/keuken (fastfood/snackbar),"The Corner Deventer (1e Weerdsweg 108, Zandweerd-Zuid)",Horeca/Fastfood,Deventer,,,https://www.thecorner-deventer.nl/contact,"BEDRIJF GEVERIFIEERD, TELEFOONNUMMER NIET BESCHIKBAAR - nieuw geopende horecazaak (april 2026) in Zandweerd-Zuid die personeel zoekt. Nummer staat afgeschermd op telefoonboek.nl en de website blokkeert automatisch ophalen. Loop er langs of vul het nummer hier zelf aan na telefonisch contact.",ja,2026-08-11,nee
